"zip_code","borough","rental_price","date"
10001,"Manhattan",4841.80483914295,"x2023_04_30"
10001,"Manhattan",4903.26019708702,"x2023_05_31"
10001,"Manhattan",4992.12827539289,"x2023_06_30"
10001,"Manhattan",5052.62044872701,"x2023_07_31"
10001,"Manhattan",5112.28484912285,"x2023_08_31"
10001,"Manhattan",5096.98075906198,"x2023_09_30"
10001,"Manhattan",5023.06976035362,"x2023_10_31"
10001,"Manhattan",4923.64375551844,"x2023_11_30"
10001,"Manhattan",4863.17189855019,"x2023_12_31"
10001,"Manhattan",4842.41142193806,"x2024_01_31"
10001,"Manhattan",4876.82551069853,"x2024_02_29"
10001,"Manhattan",4907.83843377841,"x2024_03_31"
10001,"Manhattan",4996.33967748837,"x2024_04_30"
10001,"Manhattan",5076.39756247302,"x2024_05_31"
10001,"Manhattan",5148.42937050692,"x2024_06_30"
10001,"Manhattan",5176.02022372047,"x2024_07_31"
10001,"Manhattan",5174.64070881226,"x2024_08_31"
10002,"Manhattan",3316.65913786397,"x2015_01_31"
10002,"Manhattan",3296.52888958868,"x2015_02_28"
10002,"Manhattan",3271.30430050666,"x2015_03_31"
10002,"Manhattan",3315.10291241122,"x2015_04_30"
10002,"Manhattan",3351.00432071725,"x2015_05_31"
10002,"Manhattan",3401.43476964693,"x2015_06_30"
10002,"Manhattan",3414.58748772238,"x2015_07_31"
10002,"Manhattan",3429.32414332634,"x2015_08_31"
10002,"Manhattan",3416.84224551551,"x2015_09_30"
10002,"Manhattan",3373.04221987258,"x2015_10_31"
10002,"Manhattan",3355.5289399848,"x2015_11_30"
10002,"Manhattan",3326.27584152331,"x2015_12_31"
10002,"Manhattan",3334.19911181643,"x2016_01_31"
10002,"Manhattan",3351.77818887832,"x2016_02_29"
10002,"Manhattan",3378.2512476147,"x2016_03_31"
10002,"Manhattan",3388.93013028256,"x2016_04_30"
10002,"Manhattan",3392.79625709168,"x2016_05_31"
10002,"Manhattan",3431.60821603072,"x2016_06_30"
10002,"Manhattan",3468.89278910337,"x2016_07_31"
10002,"Manhattan",3484.31170701167,"x2016_08_31"
10002,"Manhattan",3472.09540426274,"x2016_09_30"
10002,"Manhattan",3465.54998767272,"x2016_10_31"
10002,"Manhattan",3407.17947859628,"x2016_11_30"
10002,"Manhattan",3385.90684261156,"x2016_12_31"
10002,"Manhattan",3368.97127410797,"x2017_01_31"
10002,"Manhattan",3428.94484247876,"x2017_02_28"
10002,"Manhattan",3458.17642029077,"x2017_03_31"
10002,"Manhattan",3478.19059727175,"x2017_04_30"
10002,"Manhattan",3487.56922187777,"x2017_05_31"
10002,"Manhattan",3503.33205803633,"x2017_06_30"
10002,"Manhattan",3523.67683171598,"x2017_07_31"
10002,"Manhattan",3511.72166245546,"x2017_08_31"
10002,"Manhattan",3501.43917005619,"x2017_09_30"
10002,"Manhattan",3452.01940852968,"x2017_10_31"
10002,"Manhattan",3426.79040075849,"x2017_11_30"
10002,"Manhattan",3399.45267804562,"x2017_12_31"
10002,"Manhattan",3428.66606180019,"x2018_01_31"
10002,"Manhattan",3458.32802796421,"x2018_02_28"
10002,"Manhattan",3496.41654474406,"x2018_03_31"
10002,"Manhattan",3529.82885558312,"x2018_04_30"
10002,"Manhattan",3552.56833752086,"x2018_05_31"
10002,"Manhattan",3578.84478105415,"x2018_06_30"
10002,"Manhattan",3595.58777134156,"x2018_07_31"
10002,"Manhattan",3594.50879206935,"x2018_08_31"
10002,"Manhattan",3574.85889651546,"x2018_09_30"
